"cluster","plot","plot_id","tree_dbh","tree_height","h1","h2","h3","imputed"
"A","27B","A_27B",1.5,NA,1.30146160798835,1.3056280740046,1.30594545176964,TRUE
"A","27B","A_27B",13,NA,11.7793356816309,11.6468106237818,11.7015743841488,TRUE
"A","27B","A_27B",14.3,NA,13.2632102205543,12.8745329674366,12.927192078739,TRUE
"A","27B","A_27B",11.3,13.9,13.9,13.9,13.9,FALSE
"A","27B","A_27B",26.5,NA,23.5624068094323,20.8829709765603,20.9039495130016,TRUE
"A","27B","A_27B",28.5,NA,24.7492756163986,21.7634010643247,21.7793812751848,TRUE
"A","27B","A_27B",20.5,NA,19.2518073895712,17.6208528826667,17.6579858841773,TRUE
"A","27B","A_27B",37.8,NA,29.101438740464,24.9363733082405,24.932350692955,TRUE
"A","27B","A_27B",1.7,1.9,1.9,1.9,1.9,FALSE
"A","27B","A_27B",22.6,NA,20.9040578879333,18.8840421957307,18.9153851481068,TRUE
"A","27B","A_27B",14,NA,12.9276440383661,12.5990432227934,12.6522526340392,TRUE
"A","27B","A_27B",18.1,NA,17.1426680028162,15.9819655303769,16.0256449543873,TRUE
"A","27B","A_27B",20.5,NA,19.2518073895712,17.6208528826667,17.6579858841773,TRUE
"A","27B","A_27B",72.6,42.05,42.05,42.05,42.05,FALSE
"A","27B","A_27B",28.7,NA,24.8621631713865,21.8467812801265,21.8622750812621,TRUE
"A","27B","A_27B",3,30.46,30.46,30.46,30.46,FALSE
"A","27B","A_27B",46,47.71,47.71,47.71,47.71,FALSE
"A","27B","A_27B",50,5.9,32.9053904399706,27.6473382248045,27.6239941536114,TRUE
"A","27B","A_27B",3.2,NA,1.4878693260513,1.64361103849013,1.65327551468699,TRUE
"A","27B","A_27B",5.3,NA,2.70820712478175,3.19133116151016,3.22277428351566,TRUE
"A","27B","A_27B",12.1,7.6,7.6,7.6,7.6,FALSE
"A","27B","A_27B",3.2,NA,1.4878693260513,1.64361103849013,1.65327551468699,TRUE
"A","27B","A_27B",2.2,NA,1.32326244907863,1.35860602568864,1.36096145140115,TRUE
"A","27B","A_27B",34.4,16.51,16.51,16.51,16.51,FALSE
"A","27B","A_27B",12,7,7,7,7,FALSE
"A","27B","A_27B",28.8,NA,24.9182297138134,21.8881699834639,21.9034215134072,TRUE
"A","27B","A_27B",25.2,NA,22.7302127293812,20.2613574652502,20.285709265131,TRUE
"A","27C","A_27C",1.8,1.9,1.9,1.9,1.9,FALSE
"A","27C","A_27C",1.5,NA,1.30396980644709,1.3056280740046,1.30594545176964,TRUE
"A","27C","A_27C",2.1,NA,1.33482716304972,1.34544930791572,1.34735530143228,TRUE
"A","27C","A_27C",1.5,NA,1.30396980644709,1.3056280740046,1.30594545176964,TRUE
"A","27C","A_27C",1.8,2.4,2.4,2.4,2.4,FALSE
"A","27C","A_27C",1,NA,1.30015200856921,1.30024406953321,1.30026322555212,TRUE
"A","27C","A_27C",1.8,NA,1.3136440523786,1.31845349835428,1.31934203029577,TRUE
"A","27C","A_27C",12.8,NA,10.9388726939016,11.4500589307797,11.5050735733724,TRUE
"A","27C","A_27C",14.1,NA,12.167306217094,12.6913911730378,12.7444209901873,TRUE
"A","27C","A_27C",17.5,NA,15.0013326002872,15.5356794917294,15.5809386449531,TRUE
"A","27C","A_27C",12.9,NA,11.0362778388673,11.548697792947,11.6035897694745,TRUE
"A","27C","A_27C",22.5,NA,18.3089948409277,18.8271432486455,18.8587601534261,TRUE
"A","27C","A_27C",25,NA,19.6577382775853,20.1619827701897,20.1868615561905,TRUE
"A","27C","A_27C",2.1,3.85,3.85,3.85,3.85,FALSE
"A","27C","A_27C",7.9,NA,5.68888382285778,6.06245908217063,6.11223186662443,TRUE
"A","27C","A_27C",2,NA,1.32615606373209,1.33450844365788,1.33602098670996,TRUE
"A","27C","A_27C",1,NA,1.30015200856921,1.30024406953321,1.30026322555212,TRUE
"A","27C","A_27C",13,NA,11.1332004266041,11.6468106237818,11.7015743841488,TRUE
"A","27C","A_27C",26.8,20.3,20.3,20.3,20.3,FALSE
"A","27C","A_27C",12,3.5,3.5,3.5,3.5,FALSE
"A","27C","A_27C",22,NA,18.0173094194865,18.5379438590727,18.5709343499557,TRUE
"A","27C","A_27C",41.7,NA,25.5356486408195,25.9388567716244,25.9279148954342,TRUE
"A","27C","A_27C",18.5,NA,15.737864460436,16.271000064435,16.3136086415979,TRUE
"A","27C","A_27C",3.2,12,12,12,12,FALSE
"A","27C","A_27C",13,NA,11.1332004266041,11.6468106237818,11.7015743841488,TRUE
"A","27C","A_27C",17,NA,14.6173369256525,15.151721783788,15.1982665399909,TRUE
"A","27C","A_27C",12.7,NA,10.8409863243815,11.3508944302409,11.4060260266177,TRUE
"A","27C","A_27C",13.9,NA,11.9836629678818,12.5061754318313,12.5595604370284,TRUE
