"","cluster","plot","tree_dbh","tree_height","plot_id","H","temp","h1","h2","h3","imputed","id1","id2"
"49","1","C",18.7,NA,"1_C",NA,"1",9.7799123595459,12.2184468680864,15.7952151677962,TRUE,3,1
"50","1","C",20,NA,"1_C",NA,"1",10.5933031634222,12.9982173525403,16.6063940449587,TRUE,3,1
"51","1","C",30,NA,"1_C",NA,"1",16.7606108231556,18.2103149701627,21.6316384245639,TRUE,3,1
"52","1","C",35,NA,"1_C",NA,"1",19.6782136680142,20.3488078005085,23.526616765881,TRUE,3,1
"53","1","D",6,NA,"1_D",NA,"1",3.5959770628326,3.76636023787363,5.42470841334684,TRUE,4,1
"54","1","D",10,NA,"1_D",NA,"1",6.07991574295776,6.46608739398597,9.14278255676482,TRUE,4,1
"55","1","D",10.8,NA,"1_D",NA,"1",6.58747968617842,7.02055649539732,9.84735314315524,TRUE,4,1
"56","1","D",15.7,NA,"1_D",NA,"1",9.60121845083255,10.3289790218929,13.751335300382,TRUE,4,1
"57","1","D",24.8,NA,"1_D",NA,"1",14.4212676849806,15.6688164496117,19.2605908296359,TRUE,4,1
"58","1","D",25.9,NA,"1_D",NA,"1",14.9302530451627,16.2357304865803,19.8016349946683,TRUE,4,1
"59","1","D",30.5,NA,"1_D",NA,"1",16.9020125173145,18.4369016443239,21.8365215539279,TRUE,4,1
"60","1","D",34.4,NA,"1_D",NA,"1",18.3931071989374,20.1065489138017,23.3161572202911,TRUE,4,1
"61","1","D",35.4,NA,"1_D",NA,"1",18.7512987339083,20.5082585341254,23.664574541423,TRUE,4,1
"62","10","A",1.1,NA,"10_A",NA,"1",1.54506290889607,1.54777141120136,1.55020600788915,TRUE,5,2
"63","10","A",1.2,NA,"10_A",NA,"1",1.58748139157632,1.59065642167739,1.59363551074367,TRUE,5,2
"64","10","A",1.5,NA,"10_A",NA,"1",1.73048678582826,1.7352311989211,1.74023026656092,TRUE,5,2
"65","10","A",1.5,NA,"10_A",NA,"1",1.73048678582826,1.7352311989211,1.74023026656092,TRUE,5,2
"66","10","A",2,NA,"10_A",NA,"1",2.01433333112835,2.02217984403765,2.03188569636059,TRUE,5,2
"67","10","A",2.1,NA,"10_A",NA,"1",2.07698759899702,2.08551686442214,2.0963689791459,TRUE,5,2
"68","10","A",2.1,NA,"10_A",NA,"1",2.07698759899702,2.08551686442214,2.0963689791459,TRUE,5,2
"69","10","A",2.3,NA,"10_A",NA,"1",2.2074397973043,2.21738856908074,2.2307384736775,TRUE,5,2
"70","10","A",2.7,NA,"10_A",NA,"1",2.48663916019038,2.49961749598488,2.51877627792977,TRUE,5,2
"71","10","A",2.9,NA,"10_A",NA,"1",2.63420222924494,2.64877746483803,2.67123992914429,TRUE,5,2
"72","10","A",3.5,NA,"10_A",NA,"1",3.10260881525915,3.12223553577299,3.15614085608933,TRUE,5,2
"73","10","A",3.7,NA,"10_A",NA,"1",3.26584564788504,3.28722701976537,3.32543503710281,TRUE,5,2
"74","10","A",4.6,NA,"10_A",NA,"1",4.03160717876202,4.06118457089392,4.12151002307583,TRUE,5,2
"75","10","A",4.6,NA,"10_A",NA,"1",4.03160717876202,4.06118457089392,4.12151002307583,TRUE,5,2
"76","10","A",4.8,NA,"10_A",NA,"1",4.20693100679933,4.23837735604863,4.30418189463149,TRUE,5,2
"77","10","A",5,NA,"10_A",NA,"1",4.38357577005005,4.41690250711462,4.48837350612379,TRUE,5,2
"78","10","A",6.5,NA,"10_A",NA,"1",5.73108077352226,5.77867137833425,5.89781079633934,TRUE,5,2
"79","10","A",8.4,NA,"10_A",NA,"1",7.43080394271702,7.49620904960171,7.68535505721058,TRUE,5,2
"80","10","A",10.2,NA,"10_A",NA,"1",8.97790117463827,9.05937245538983,9.32055900641197,TRUE,5,2
